accession_code,lon,lat
PI_586867,40.96666667,-95.93333333
PI_435483,35.20944444,-102.2
PI_494567,28.25,-97.68333333
PI_586858,38.7,-97.51666667
PI_586863,39.55,-95.16666667
PI_586862,39.25,-95.51666667
PI_586859,38.66666667,-96.66666667
PI_586854,38.1,-99.85
PI_592308,49.465,-112.5955556
PI_592311,50.39361111,-108.4802778
PI_586857,38.66666667,-98.2
PI_586879,42.91666667,-100.2
PI_435555,37.58138889,-101.3547222
PI_435557,38.4825,-100.9066667
PI_586851,38.46666667,-100.9
PI_586878,42.05,-100.9666667
PI_586876,40.66666667,-100.3333333